,Rank,Ordinal Rank,University Name,Overall Score,City,Country,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation
180,181,181,Zhengzhou University,42.2,Zhengzhou,China,96.6,54.9,20.7,9.9,11.5,82.6,11.6,1.3,1.0,,60.4
181,182,182,University of Santo Tomas,42.0,Manila,Philippines,5.1,2.7,43.3,20.9,1.2,21.1,29.3,99.8,79.9,69.6,79.4
182,183,183,The University of Lahore,41.9,Lahore,Pakistan,44.0,13.1,40.2,22.1,1.1,87.6,15.4,1.0,1.1,12.2,58.6
183,184,184,Amity University,41.8,Noida,India,8.6,34.3,37.3,20.6,66.6,87.7,65.6,99.9,15.4,11.2,38.8
184,185,185,Viet Nam National University Ho Chi Minh City (VNU-HCM),41.7,Ho Chi Minh City,Vietnam,11.6,7.1,57.8,8.5,1.8,69.1,1.9,1.7,2.5,12.7,66.5
185,186,186,Lincoln University College,41.6,Petaling Jaya,Malaysia,4.2,3.9,31.5,76.8,75.6,2.3,100.0,100.0,100.0,99.9,42.7
186,187,187,Khon Kaen University,41.5,Khon Kaen,Thailand,9.8,16.6,53.4,14.7,70.9,76.2,11.5,18.9,21.5,16.5,40.4
187,188,188,Chongqing University,41.4,Chongqing,China,78.7,74.0,28.0,23.2,60.3,86.0,10.0,14.5,2.9,51.6,21.2
188,189,189,Jamia Millia Islamia,41.3,New Delhi,India,72.7,37.6,35.3,53.4,81.8,65.0,25.5,10.4,16.4,9.3,14.3
189,190,190,Lingnan University,41.3,Tuen Mun,Hong Kong,51.1,20.1,35.0,18.5,90.9,16.8,100.0,98.3,90.7,100.0,28.2
190,191,191,National Chung Cheng University,41.2,Minxiong Township,Taiwan,13.1,16.4,42.2,23.7,74.8,26.9,18.6,36.6,48.3,14.6,66.9
191,192,192,Asia Pacific University of Technology and Innovation (APU) Malaysia,41.0,Kuala Lumpur,Malaysia,5.7,6.1,38.5,78.5,1.2,4.7,100.0,99.9,100.0,99.3,44.8
192,193,192,China Agricultural University,41.0,Beijing,China,79.6,89.1,30.6,30.0,81.4,77.9,5.8,14.2,1.4,10.8,12.3
193,194,194,Tokyo University of Agriculture and Technology,40.9,Tokyo,Japan,7.9,75.9,45.6,24.5,93.2,61.0,34.1,14.7,13.0,16.5,31.0
194,195,195,Chungnam National University,40.8,Daejeon,South Korea,19.4,29.1,32.3,67.1,73.6,47.6,40.9,44.5,89.3,21.9,32.3
195,196,195,Khoja Akhmet Yassawi International Kazakh-Turkish University,40.8,Turkestan,Kazakhstan,1.4,3.4,57.1,62.9,2.0,1.9,57.6,13.2,3.3,21.7,65.8
196,197,195,Universiti Malaysia Terengganu (UMT),40.6,Kuala Terengganu,Malaysia,27.2,42.0,36.6,25.6,80.0,75.4,43.5,68.2,78.8,31.8,19.7
197,198,198,Isfahan University of Technology,40.4,Isfahan,Iran,66.9,87.3,19.6,10.2,66.9,65.7,4.7,3.9,1.1,6.1,54.4
198,199,198,Manipal Academy of Higher Education,40.4,Manipal,India,8.3,19.1,38.8,63.6,49.5,87.4,36.1,12.2,7.5,4.4,33.6
199,200,200,Ton Duc Thang University,40.3,Ho Chi Minh City,Vietnam,100.0,45.7,19.6,10.1,1.1,99.8,4.8,59.4,75.7,27.1,28.3
200,201,201,Chonnam National University,40.0,Gwangju,South Korea,50.0,23.3,34.0,66.2,83.2,40.0,34.7,44.1,29.0,26.8,21.3
201,202,201,Jinan University (China),40.0,Guangzhou,China,91.3,45.7,20.3,17.6,61.3,78.6,99.0,43.9,30.5,68.7,12.7
202,203,203,University of Agriculture,39.6,Faisalabad,Pakistan,87.4,56.9,24.0,2.6,25.8,91.8,1.8,1.7,1.1,7.0,42.9
203,204,204,Banaras Hindu University,39.5,Varanasi,India,22.5,25.2,45.8,22.6,73.5,82.7,6.7,2.3,1.8,1.8,32.9
204,205,205,Bina Nusantara University (BINUS),39.2,Jakarta,Indonesia,1.3,25.9,44.2,35.3,2.8,9.4,22.6,100.0,96.9,69.3,57.8
205,206,206,University of Peshawar,38.8,Peshawar,Pakistan,66.3,10.2,25.9,84.0,,64.9,4.6,1.0,1.1,,38.5
206,207,207,Prince of Songkla University,38.6,Hat Yai,Thailand,14.5,10.9,62.2,30.1,38.9,60.8,8.1,4.8,3.3,16.2,24.9
207,208,208,Multimedia University (MMU),38.4,Cyberjaya,Malaysia,11.9,16.3,41.5,21.0,20.5,23.6,73.7,49.3,100.0,62.0,51.1
208,209,208,Osaka Metropolitan University,38.4,Osaka,Japan,8.5,24.7,41.8,71.9,35.5,41.4,16.3,2.5,5.8,14.1,42.8
209,210,210,Shiraz University,37.8,Shiraz,Iran,49.3,69.8,26.1,9.2,95.4,80.3,10.7,2.0,1.6,1.6,31.5
210,211,211,Kanazawa University,37.6,Kanazawa,Japan,17.3,33.4,36.7,75.2,80.3,46.2,28.9,13.0,24.2,24.5,18.2
211,212,212,Jadavpur University,37.1,Kolkata,India,14.7,75.8,54.9,16.2,52.5,47.3,1.3,1.6,3.5,,26.0
212,213,213,Sophia University,37.0,Tokyo,Japan,5.7,5.9,42.7,38.2,5.2,6.7,45.4,54.1,57.2,69.1,59.4
213,214,213,The Education University of Hong Kong,37.0,Tai Po,Hong Kong,97.0,18.5,22.5,99.3,,42.6,,22.9,9.9,,17.8
214,215,215,Lanzhou University,36.9,Lanzhou,China,75.2,34.6,29.6,56.3,5.6,89.8,5.4,6.8,3.6,6.3,11.5
215,216,216,East China University of Science and Technology,36.8,Shanghai,China,88.1,57.7,25.8,22.6,81.9,59.6,7.2,16.1,1.6,6.9,15.7
216,217,217,Symbiosis International (Deemed University),36.7,Pune,India,7.7,6.2,21.0,43.3,27.0,18.6,27.9,23.9,41.9,39.8,86.8
217,218,218,University of Electronic Science and Technology of China,36.5,Chengdu,China,68.0,96.9,20.4,16.2,2.2,95.6,12.3,69.2,1.3,9.3,20.5
218,219,219,Ferdowsi University of Mashhad,36.3,Mashhad,Iran,30.5,50.2,26.7,6.8,92.5,94.8,34.2,1.2,1.1,2.3,29.7
219,220,219,Jiangsu University,36.3,Zhenjiang,China,90.4,29.0,11.8,86.4,8.5,91.8,28.3,18.9,1.7,13.8,7.0
220,221,221,Soochow University,36.2,Suzhou,China,99.2,40.5,24.7,29.3,25.9,71.5,12.7,34.6,11.2,19.2,12.3
221,222,222,Bharathiar University,36.1,Coimbatore,India,27.6,99.8,18.7,89.5,93.5,54.1,2.8,15.8,38.4,,6.4
222,223,222,SRM Institute of Science and Technology,36.1,Chennai,India,11.2,15.6,35.3,26.5,11.1,82.5,6.0,10.4,6.2,3.1,52.4
223,224,222,Universitas Sebelas Maret,36.1,Surakarta,Indonesia,1.3,9.4,47.0,41.2,10.1,15.6,14.2,79.6,46.6,44.2,47.9
224,225,225,King Mongkut's University of Technology Thonburi,35.9,Bangkok,Thailand,33.7,20.1,43.9,25.2,44.0,55.1,16.8,4.5,13.5,27.8,27.5
225,226,226,University of Tabriz,35.7,Tabriz,Iran,82.6,86.6,22.9,4.7,,94.9,23.9,1.2,1.5,3.5,22.5
226,227,227,China University of Geosciences,35.6,Wuhan,China,70.2,42.0,19.7,73.9,5.1,92.0,13.9,36.7,11.8,3.1,5.1
227,228,227,Lovely Professional University (LPU),35.6,Chaheru,India,28.9,13.1,29.7,22.0,5.2,79.7,19.7,25.4,26.4,26.3,46.4
228,229,229,Macau University of Science and Technology,35.6,Macau,Macau SAR,96.3,42.2,17.3,6.9,73.3,35.6,100.0,19.8,42.8,100.0,15.7
229,230,230,Universiti Malaysia Sarawak (UNIMAS),35.6,Kuching,Malaysia,6.8,15.0,44.1,26.6,19.5,40.7,44.5,59.9,67.5,69.5,30.7
230,231,231,Beijing University of Technology,35.3,Beijing,China,39.4,54.0,28.4,58.6,64.4,46.2,7.6,8.8,8.8,14.4,22.4
231,232,231,Kazakh-British Technical University,35.3,Almaty,Kazakhstan,2.9,7.6,46.9,27.6,2.0,13.9,12.2,19.4,1.8,18.5,69.8
232,233,231,Kyrgyz-Turkish Manas University,35.3,Bishkek,Kyrgystan,3.6,7.6,53.5,20.7,38.5,5.1,63.4,10.8,9.2,99.2,42.2
233,234,231,Okayama University,35.3,Okayama City,Japan,10.5,26.8,32.1,80.3,26.5,78.3,31.0,5.1,9.3,18.7,17.4
234,235,235,Shahid Beheshti University (SBU),35.2,Tehran,Iran,25.9,58.7,29.8,8.2,2.9,90.3,6.5,7.2,100.0,3.3,33.9
235,236,236,Pakistan Institute of Engineering and Applied Sciences (PIEAS),34.9,Islamabad,Pakistan,63.2,53.6,24.4,65.3,36.1,15.3,1.4,4.6,1.1,,37.5
236,237,237,Nagasaki University,34.8,Nagasaki City,Japan,12.3,21.2,25.7,93.2,63.0,74.0,24.4,14.7,14.7,17.8,10.6
237,238,237,Nanjing University of Science and Technology,34.8,Nanjing,China,59.8,87.1,21.9,16.9,82.0,58.1,14.6,62.7,25.7,15.7,11.7
238,239,237,Universitas Hasanuddin,34.8,Makassar,Indonesia,1.2,5.2,50.3,62.5,3.6,17.3,4.7,8.0,10.1,26.2,44.7
239,240,240,University of Hyderabad,34.7,Hyderabad,India,27.1,66.1,44.1,27.0,97.6,37.3,9.2,1.0,1.1,4.6,13.8
240,241,241,Chang Gung University,34.6,Taoyuan City,Taiwan,38.0,60.1,23.7,87.7,40.3,38.5,23.4,2.9,2.0,15.7,20.0
241,242,241,Tokyo Metropolitan University,34.6,Tokyo,Japan,24.6,28.4,43.1,56.3,9.1,41.8,23.4,9.9,9.4,22.1,24.5
242,243,243,National University of Uzbekistan named after Mirzo Ulugbek,34.5,Tashkent,Uzbekistan,1.4,5.3,57.8,18.7,15.8,10.9,12.6,18.2,18.8,87.1,43.2
243,244,244,International Islamic University,34.3,Islamabad,Pakistan,71.7,14.1,26.1,6.9,3.4,75.4,30.2,2.0,1.1,12.8,40.5
244,245,244,Universiti Malaysia Sabah (UMS),34.3,Kota Kinabalu,Malaysia,4.6,19.8,47.6,16.9,35.3,39.3,24.5,14.0,56.2,29.6,35.6
245,246,246,Beijing Jiaotong University,34.2,Beijing,China,20.0,45.0,34.4,39.0,37.0,41.1,42.2,97.4,10.5,10.9,24.0
246,247,246,Nanjing University of Aeronautics and Astronautics,34.2,Nanjing,China,29.2,79.3,21.3,36.2,63.3,59.8,23.1,99.6,22.7,16.3,15.9
247,248,246,University of Mumbai,34.2,Mumbai,India,3.8,90.6,32.6,14.2,34.6,21.3,9.1,1.0,1.1,4.8,64.1
248,249,249,Asia University Taiwan,33.7,Taichung City,Taiwan,79.6,65.8,22.4,7.1,49.5,83.5,16.9,14.8,7.8,28.8,7.5
249,250,249,Nanjing Normal University,33.7,Nanjing,China,97.7,26.6,19.4,29.1,42.7,79.2,21.9,30.5,1.8,,7.8
250,251,249,Universiti Tun Hussein Onn  Malaysia (UTHM),33.7,Batu Pahat,Malaysia,5.5,37.8,36.0,19.3,61.8,66.2,31.9,9.8,37.7,19.5,27.1
251,252,249,University of Ulsan,33.7,Ulsan,South Korea,63.7,42.2,19.6,79.3,72.9,40.5,11.7,4.9,5.1,5.1,10.4
252,253,249,Wuhan University of Technology,33.7,Wuhan,China,84.7,27.6,25.9,33.7,16.0,76.4,12.3,13.3,3.1,9.6,11.7
253,254,254,BRAC University,33.6,Dhaka,Bangladesh,15.2,5.9,39.9,17.1,1.0,26.8,4.8,2.6,1.6,5.1,70.6
254,255,255,Indian Institute of Technology Indore,33.5,Indore,India,42.4,96.7,23.3,42.3,83.2,30.9,2.2,10.7,3.5,5.3,22.5
255,256,255,Kumamoto University,33.5,Kumamoto City,Japan,27.0,29.7,26.5,75.3,66.9,51.9,18.2,3.8,26.9,21.8,13.2
256,257,255,Yokohama National University,33.5,Yokohama City,Japan,5.0,29.4,33.2,32.9,18.2,36.3,36.4,6.3,14.1,29.5,53.1
257,258,258,Kalinga Institute of Industrial Technology (KIIT) University,33.4,Bhubaneswar,India,8.3,9.1,15.3,65.4,77.7,71.5,47.5,26.1,72.0,36.2,22.3
258,259,258,Yeungnam University,33.4,Gyeongsan,South Korea,82.0,30.8,15.3,25.3,61.2,66.4,35.4,9.9,12.8,68.8,13.5
259,260,260,Northwest Agriculture and Forestry University,33.2,Yangling,China,87.6,41.1,17.8,47.1,23.5,85.2,4.5,9.7,2.5,8.3,5.4
260,261,261,American University of Central Asia,32.6,Bishkek,Kyrgystan,6.1,4.2,30.2,85.3,2.9,2.7,99.9,52.1,40.8,71.3,31.4
261,262,261,Osh State University,32.8,Osh,Kyrgystan,1.0,1.2,54.0,24.6,1.1,1.1,97.9,15.8,3.5,8.7,48.8
262,263,263,China University of Mining and Technology,32.4,Xuzhou,China,59.3,71.6,14.0,48.5,41.3,78.1,9.0,18.3,38.3,6.4,6.6
263,264,263,Thapar Institute of Engineering & Technology,32.4,Patiala,India,82.8,48.0,19.6,20.2,59.1,44.8,7.9,31.0,1.7,15.9,20.2
264,265,263,Tunghai University,32.4,Taichung City,Taiwan,72.8,13.9,24.5,9.1,63.0,32.3,39.8,41.9,56.9,25.0,24.1
265,266,266,Karaganda State Technical University,32.1,Karaganda,Kazakhstan,1.0,3.6,36.5,98.3,10.9,1.5,60.5,31.2,2.5,29.2,32.1
266,267,267,The Catholic University of Korea,31.8,Gyeonggi,South Korea,26.5,34.4,17.7,99.8,79.3,9.1,59.6,38.3,38.4,11.4,13.6
267,268,268,Saveetha Institute of Medical And Technical Sciences (SIMATS),31.7,Tiruvallur,India,5.3,48.4,21.6,37.4,9.1,87.0,23.4,87.2,20.7,98.6,13.7
268,269,269,China University of Political Science and Law,31.6,Beijing,China,3.5,2.4,11.1,15.8,95.5,4.1,5.1,99.7,39.1,11.2,81.6
269,270,269,University of Karachi,31.6,Karachi,Pakistan,12.1,16.9,39.7,2.6,2.3,54.9,1.6,1.0,1.1,10.6,52.6
270,271,271,NJSC KIMEP University,31.3,Almaty,Kazakhstan,49.7,12.8,22.4,20.1,7.3,1.5,56.5,53.5,26.3,95.8,48.8
271,272,271,Panjab University,31.3,Chandigarh,India,35.1,43.1,28.7,15.6,76.8,44.4,6.9,1.1,1.9,,30.7
272,273,273,O.P. Jindal Global University (JGU),31.2,Sonepat,India,9.6,7.1,35.6,74.1,6.5,6.5,3.1,36.1,4.4,45.8,38.7
273,274,273,Yangzhou University,31.2,Yangzhou,China,84.8,28.0,8.8,54.6,14.9,69.3,35.3,96.8,7.4,15.6,4.2
274,275,275,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),30.9,Varanasi,India,44.9,95.8,22.7,7.7,99.9,32.6,1.9,6.7,1.1,2.5,23.3
275,276,275,Sookmyung Women's University,30.9,Seoul,South Korea,72.6,4.5,17.4,58.7,48.6,3.0,10.4,69.2,58.5,12.0,25.0
276,277,277,Aga Khan University,30.8,Karachi,Pakistan,16.1,21.1,18.2,100.0,1.0,49.1,4.6,1.0,1.1,2.3,33.2
277,278,277,Jiangnan University,30.8,Wuxi,China,71.3,59.4,17.5,28.5,11.0,67.1,5.9,19.3,3.4,4.5,18.3
278,279,277,University of Colombo,30.8,Colombo,Sri Lanka,16.4,9.7,44.1,4.7,8.1,23.1,3.1,1.1,1.3,1.5,56.1
279,280,280,Aligarh Muslim University,30.7,Aligarh,India,39.7,27.3,38.9,25.8,9.4,69.6,4.6,1.0,1.1,1.0,13.3
280,281,280,Siksha ‘O’ Anusandhan (Deemed to be University),30.7,Bhubaneswar,India,7.8,24.8,36.6,54.2,59.8,31.0,10.9,1.0,1.1,5.8,24.4
281,282,282,Daffodil International University,30.6,Dhaka,Bangladesh,18.5,12.0,34.9,7.6,1.1,27.9,14.6,16.4,11.9,15.4,59.2
282,283,283,Saken Seifullin Kazakh Agrotechnical University,30.4,Nur-Sultan,Kazakhstan,1.3,3.3,35.4,71.1,15.0,1.6,21.9,56.2,26.3,29.5,36.6
283,284,284,Beijing University of Chemical Technology,30.3,Beijing,China,99.8,38.5,17.9,43.4,1.1,55.6,7.1,12.4,2.8,6.8,7.9
284,285,284,Qingdao University,30.3,Qingdao,China,96.7,36.3,12.2,20.5,42.5,75.3,6.6,11.9,1.1,7.8,9.8
285,286,284,Telkom University,30.3,Bandung,Indonesia,1.3,10.9,33.6,34.1,1.6,8.5,26.3,60.2,72.5,70.3,43.5
286,287,287,Alagappa Univeristy,30.2,Karaikudi,India,74.3,51.0,13.0,43.5,93.0,55.6,1.9,2.2,2.3,,4.1
287,288,288,Donghua University,30.1,Shanghai,China,94.1,41.1,15.3,43.1,12.4,44.7,16.3,62.1,19.5,5.7,6.3
288,289,288,Guru Nanak Dev University,30.1,Amritsar,India,64.4,36.8,15.2,92.1,3.0,36.0,2.0,1.0,1.1,,17.0
289,290,290,D. Serikbayev East Kazakhstan Technical University,30.0,Ust-Kamenogorsk,Kazakhstan,1.3,3.1,41.2,85.0,1.1,1.5,12.5,6.9,1.3,39.0,31.9
290,291,290,Soonchunhyang University,30.0,Asan,South Korea,38.2,13.5,21.0,82.7,34.2,10.8,20.7,10.2,55.7,16.9,23.7
291,292,290,University of Isfahan,30.0,Isfahan,Iran,38.7,36.8,20.6,3.9,100.0,75.9,4.9,1.2,1.1,,21.0
292,293,293,Institute of Business Administration (IBA),29.9,Karachi,Pakistan,57.4,17.7,18.6,3.7,,5.6,,1.0,1.1,,79.4
293,294,294,Amrita Vishwa Vidyapeetham,29.8,Amritapuri,India,3.5,26.7,22.0,51.3,11.8,59.7,6.3,27.3,94.5,63.3,21.4
294,295,294,Jahangirnagar University,29.8,Dhaka,Bangladesh,38.2,15.7,34.4,7.8,,41.7,,1.2,1.0,,45.4
295,296,296,National Chinyi University of Technology,29.5,Taichung City,Taiwan,25.8,15.9,31.9,12.9,52.1,11.5,29.8,3.4,17.2,5.1,46.7
296,297,296,Sungshin Women's University,29.5,Seoul,South Korea,9.1,2.1,21.4,93.0,18.6,2.5,22.5,85.5,44.6,7.7,33.9
297,298,298,Northwest University (China),29.2,Xi'an,China,64.5,27.4,16.1,69.5,17.5,49.7,13.3,47.9,6.1,10.6,5.3
298,299,299,Ocean University of China,29.1,Qingdao,China,48.1,60.5,20.8,13.9,33.0,76.4,6.5,27.3,2.8,8.5,12.4
299,300,300,Huazhong Agricultural University,29.0,Wuhan,China,91.5,52.2,16.7,12.1,61.0,45.6,6.6,11.5,1.5,11.7,9.3
